region,industry,employed_count,region_population,percent_of_state_population,year
North Carolina,Public administration,198888,4833887,0.041144528,2020
North Dakota,"Agriculture, forestry, fishing and hunting, and mining",36877,401579,0.091830001,2020
North Dakota,Construction,29823,401579,0.074264342,2020
North Dakota,Manufacturing,26976,401579,0.067174827,2020
North Dakota,Wholesale trade,13562,401579,0.033771686,2020
North Dakota,Retail trade,45448,401579,0.113173249,2020
North Dakota,"Transportation and warehousing, and utilities",21738,401579,0.054131317,2020
North Dakota,Information,4872,401579,0.012132109,2020
North Dakota,"Finance and insurance, and real estate and rental and leasing",22823,401579,0.056833151,2020
North Dakota,"Professional, scientific, and management, and administrative and waste management services",26665,401579,0.066400384,2020
North Dakota,"Educational services, and health care and social assistance",104354,401579,0.259859206,2020
North Dakota,"Arts, entertainment, and recreation, and accommodation and food services",31832,401579,0.079267093,2020
North Dakota,"Other services, except public administration",17609,401579,0.043849404,2020
North Dakota,Public administration,19000,401579,0.047313231,2020
Ohio,"Agriculture, forestry, fishing and hunting, and mining",53718,5603630,0.009586286,2020
Ohio,Construction,313136,5603630,0.05588092,2020
Ohio,Manufacturing,845301,5603630,0.150848825,2020
Ohio,Wholesale trade,144516,5603630,0.025789711,2020
Ohio,Retail trade,631658,5603630,0.112723003,2020
Ohio,"Transportation and warehousing, and utilities",301653,5603630,0.053831713,2020
Ohio,Information,84723,5603630,0.015119307,2020
Ohio,"Finance and insurance, and real estate and rental and leasing",361765,5603630,0.064559045,2020
Ohio,"Professional, scientific, and management, and administrative and waste management services",548595,5603630,0.097899933,2020
Ohio,"Educational services, and health care and social assistance",1358326,5603630,0.242401086,2020
Ohio,"Arts, entertainment, and recreation, and accommodation and food services",499405,5603630,0.089121694,2020
Ohio,"Other services, except public administration",244238,5603630,0.043585676,2020
Ohio,Public administration,216596,5603630,0.038652802,2020
Oklahoma,"Agriculture, forestry, fishing and hunting, and mining",77366,1779157,0.043484639,2020
Oklahoma,Construction,126998,1779157,0.071380997,2020
Oklahoma,Manufacturing,170330,1779157,0.095736352,2020
Oklahoma,Wholesale trade,45401,1779157,0.025518265,2020
Oklahoma,Retail trade,204679,1779157,0.115042686,2020
Oklahoma,"Transportation and warehousing, and utilities",97283,1779157,0.054679267,2020
Oklahoma,Information,27785,1779157,0.015616947,2020
Oklahoma,"Finance and insurance, and real estate and rental and leasing",97235,1779157,0.054652288,2020
Oklahoma,"Professional, scientific, and management, and administrative and waste management services",154280,1779157,0.086715225,2020
Oklahoma,"Educational services, and health care and social assistance",401780,1779157,0.225826051,2020
Oklahoma,"Arts, entertainment, and recreation, and accommodation and food services",171558,1779157,0.096426566,2020
Oklahoma,"Other services, except public administration",94216,1779157,0.052955417,2020
Oklahoma,Public administration,110246,1779157,0.061965302,2020
Oregon,"Agriculture, forestry, fishing and hunting, and mining",61791,2014487,0.030673318,2020
Oregon,Construction,130474,2014487,0.064767854,2020
Oregon,Manufacturing,224692,2014487,0.111538074,2020
Oregon,Wholesale trade,52801,2014487,0.026210643,2020
Oregon,Retail trade,233421,2014487,0.115871187,2020
Oregon,"Transportation and warehousing, and utilities",90567,2014487,0.044957848,2020
Oregon,Information,34387,2014487,0.017069855,2020
Oregon,"Finance and insurance, and real estate and rental and leasing",111493,2014487,0.055345604,2020
Oregon,"Professional, scientific, and management, and administrative and waste management services",227418,2014487,0.112891272,2020
Oregon,"Educational services, and health care and social assistance",470563,2014487,0.233589494,2020
Oregon,"Arts, entertainment, and recreation, and accommodation and food services",193091,2014487,0.095851202,2020
Oregon,"Other services, except public administration",90541,2014487,0.044944941,2020
Oregon,Public administration,93248,2014487,0.046288708,2020
Pennsylvania,"Agriculture, forestry, fishing and hunting, and mining",78501,6206839,0.012647501,2020
Pennsylvania,Construction,370375,6206839,0.059672081,2020
Pennsylvania,Manufacturing,722463,6206839,0.116397896,2020
Pennsylvania,Wholesale trade,161872,6206839,0.02607962,2020
Pennsylvania,Retail trade,679659,6206839,0.109501632,2020
Pennsylvania,"Transportation and warehousing, and utilities",357042,6206839,0.057523967,2020
Pennsylvania,Information,100428,6206839,0.016180217,2020
Pennsylvania,"Finance and insurance, and real estate and rental and leasing",409691,6206839,0.066006384,2020
Pennsylvania,"Professional, scientific, and management, and administrative and waste management services",658328,6206839,0.106064939,2020
Pennsylvania,"Educational services, and health care and social assistance",1627281,6206839,0.262175481,2020
Pennsylvania,"Arts, entertainment, and recreation, and accommodation and food services",501580,6206839,0.08081086,2020
Pennsylvania,"Other services, except public administration",293034,6206839,0.047211471,2020
Pennsylvania,Public administration,246585,6206839,0.039727952,2020
Rhode Island,"Agriculture, forestry, fishing and hunting, and mining",2676,535140,0.005000561,2020
Rhode Island,Construction,32497,535140,0.060726165,2020
Rhode Island,Manufacturing,56630,535140,0.105822775,2020
Rhode Island,Wholesale trade,12026,535140,0.022472624,2020
Rhode Island,Retail trade,61959,535140,0.115780917,2020
Rhode Island,"Transportation and warehousing, and utilities",22628,535140,0.042284262,2020
Rhode Island,Information,7937,535140,0.014831633,2020
Rhode Island,"Finance and insurance, and real estate and rental and leasing",35812,535140,0.066920806,2020
Rhode Island,"Professional, scientific, and management, and administrative and waste management services",56662,535140,0.105882573,2020
Rhode Island,"Educational services, and health care and social assistance",146465,535140,0.273694734,2020
Rhode Island,"Arts, entertainment, and recreation, and accommodation and food services",53729,535140,0.100401764,2020
Rhode Island,"Other services, except public administration",24644,535140,0.046051501,2020
Rhode Island,Public administration,21475,535140,0.040129686,2020
South Carolina,"Agriculture, forestry, fishing and hunting, and mining",21707,2312831,0.009385467,2020
South Carolina,Construction,159136,2312831,0.068805719,2020
South Carolina,Manufacturing,310653,2312831,0.134317207,2020
South Carolina,Wholesale trade,55126,2312831,0.023834859,2020
South Carolina,Retail trade,272348,2312831,0.117755253,2020
South Carolina,"Transportation and warehousing, and utilities",121924,2312831,0.052716346,2020
South Carolina,Information,34945,2312831,0.015109189,2020
South Carolina,"Finance and insurance, and real estate and rental and leasing",132837,2312831,0.057434806,2020
South Carolina,"Professional, scientific, and management, and administrative and waste management services",242008,2312831,0.104637131,2020
South Carolina,"Educational services, and health care and social assistance",510174,2312831,0.22058421,2020
South Carolina,"Arts, entertainment, and recreation, and accommodation and food services",231450,2312831,0.100072163,2020
South Carolina,"Other services, except public administration",117145,2312831,0.050650047,2020
South Carolina,Public administration,103378,2312831,0.044697602,2020
South Dakota,"Agriculture, forestry, fishing and hunting, and mining",28841,447607,0.064433756,2020
South Dakota,Construction,31693,447607,0.070805416,2020
South Dakota,Manufacturing,44942,447607,0.100405043,2020
South Dakota,Wholesale trade,12558,447607,0.028055862,2020
South Dakota,Retail trade,51419,447607,0.114875326,2020
South Dakota,"Transportation and warehousing, and utilities",19274,447607,0.043060095,2020
South Dakota,Information,6734,447607,0.015044447,2020
South Dakota,"Finance and insurance, and real estate and rental and leasing",32792,447607,0.073260695,2020
South Dakota,"Professional, scientific, and management, and administrative and waste management services",29580,447607,0.066084757,2020
South Dakota,"Educational services, and health care and social assistance",107425,447607,0.239998481,2020
South Dakota,"Arts, entertainment, and recreation, and accommodation and food services",40036,447607,0.089444535,2020
South Dakota,"Other services, except public administration",20237,447607,0.045211536,2020
South Dakota,Public administration,22076,447607,0.049320051,2020
Tennessee,"Agriculture, forestry, fishing and hunting, and mining",30647,3147330,0.00973746,2020
Tennessee,Construction,207930,3147330,0.066065522,2020
Tennessee,Manufacturing,407372,3147330,0.129434155,2020
Tennessee,Wholesale trade,78540,3147330,0.024954485,2020
Tennessee,Retail trade,363783,3147330,0.115584638,2020
Tennessee,"Transportation and warehousing, and utilities",213485,3147330,0.06783051,2020
Tennessee,Information,51646,3147330,0.016409465,2020
Tennessee,"Finance and insurance, and real estate and rental and leasing",185646,3147330,0.058985235,2020
Tennessee,"Professional, scientific, and management, and administrative and waste management services",313118,3147330,0.099486867,2020
Tennessee,"Educational services, and health care and social assistance",710151,3147330,0.225636015,2020
Tennessee,"Arts, entertainment, and recreation, and accommodation and food services",302798,3147330,0.096207897,2020
Tennessee,"Other services, except public administration",151445,3147330,0.048118564,2020
Tennessee,Public administration,130769,3147330,0.041549186,2020
Texas,"Agriculture, forestry, fishing and hunting, and mining",382157,13461358,0.028389186,2020
Texas,Construction,1162805,13461358,0.086380958,2020
Texas,Manufacturing,1136354,13461358,0.084416,2020
Texas,Wholesale trade,376139,13461358,0.027942129,2020
Texas,Retail trade,1511963,13461358,0.112318757,2020
Texas,"Transportation and warehousing, and utilities",808075,13461358,0.060029233,2020
Texas,Information,227404,13461358,0.016893095,2020
Texas,"Finance and insurance, and real estate and rental and leasing",911531,13461358,0.067714639,2020
Texas,"Professional, scientific, and management, and administrative and waste management services",1576600,13461358,0.117120427,2020
Texas,"Educational services, and health care and social assistance",2932061,13461358,0.217813166,2020
Texas,"Arts, entertainment, and recreation, and accommodation and food services",1212944,13461358,0.090105619,2020
Texas,"Other services, except public administration",680503,13461358,0.050552329,2020
Texas,Public administration,542822,13461358,0.040324461,2020
Utah,"Agriculture, forestry, fishing and hunting, and mining",23649,1537623,0.015380233,2020
Utah,Construction,111250,1537623,0.072351935,2020
Utah,Manufacturing,153651,1537623,0.099927616,2020
Utah,Wholesale trade,37330,1537623,0.024277733,2020
Utah,Retail trade,177007,1537623,0.115117295,2020
Utah,"Transportation and warehousing, and utilities",79356,1537623,0.05160953,2020
Utah,Information,30835,1537623,0.02005368,2020
Utah,"Finance and insurance, and real estate and rental and leasing",109705,1537623,0.071347138,2020
Utah,"Professional, scientific, and management, and administrative and waste management services",194997,1537623,0.126817172,2020
Utah,"Educational services, and health care and social assistance",344198,1537623,0.22385071,2020
Utah,"Arts, entertainment, and recreation, and accommodation and food services",134605,1537623,0.087540964,2020
Utah,"Other services, except public administration",68637,1537623,0.04463838,2020
Utah,Public administration,72403,1537623,0.047087615,2020
Vermont,"Agriculture, forestry, fishing and hunting, and mining",8716,328642,0.02652126,2020
Vermont,Construction,23483,328642,0.071454653,2020
Vermont,Manufacturing,34381,328642,0.104615357,2020
Vermont,Wholesale trade,6161,328642,0.018746843,2020
Vermont,Retail trade,37586,328642,0.11436761,2020
Vermont,"Transportation and warehousing, and utilities",9930,328642,0.030215249,2020
Vermont,Information,5462,328642,0.016619909,2020
Vermont,"Finance and insurance, and real estate and rental and leasing",15646,328642,0.047608035,2020
Vermont,"Professional, scientific, and management, and administrative and waste management services",29821,328642,0.090740076,2020
Vermont,"Educational services, and health care and social assistance",94190,328642,0.28660366,2020
Vermont,"Arts, entertainment, and recreation, and accommodation and food services",31942,328642,0.097193907,2020
Vermont,"Other services, except public administration",15017,328642,0.045694099,2020
Vermont,Public administration,16307,328642,0.049619343,2020
Virginia,"Agriculture, forestry, fishing and hunting, and mining",35355,4179739,0.008458662,2020
Virginia,Construction,274146,4179739,0.065589263,2020
Virginia,Manufacturing,294903,4179739,0.070555362,2020
Virginia,Wholesale trade,73495,4179739,0.017583634,2020
Virginia,Retail trade,423525,4179739,0.101328097,2020
Virginia,"Transportation and warehousing, and utilities",189418,4179739,0.045318141,2020
Virginia,Information,78532,4179739,0.018788733,2020
Virginia,"Finance and insurance, and real estate and rental and leasing",265113,4179739,0.063428123,2020
Virginia,"Professional, scientific, and management, and administrative and waste management services",663421,4179739,0.158723069,2020
Virginia,"Educational services, and health care and social assistance",926211,4179739,0.221595415,2020
Virginia,"Arts, entertainment, and recreation, and accommodation and food services",365693,4179739,0.087491827,2020
Virginia,"Other services, except public administration",220156,4179739,0.052672188,2020
Virginia,Public administration,369771,4179739,0.088467486,2020
Washington,"Agriculture, forestry, fishing and hunting, and mining",90751,3660034,0.024795125,2020
Washington,Construction,254382,3660034,0.069502633,2020
Washington,Manufacturing,348001,3660034,0.095081357,2020
Washington,Wholesale trade,98459,3660034,0.026901116,2020
Washington,Retail trade,425312,3660034,0.116204385,2020
Washington,"Transportation and warehousing, and utilities",199867,3660034,0.054607963,2020
Washington,Information,79372,3660034,0.021686137,2020
Washington,"Finance and insurance, and real estate and rental and leasing",193558,3660034,0.052884208,2020
Washington,"Professional, scientific, and management, and administrative and waste management services",499065,3660034,0.136355291,2020
Washington,"Educational services, and health care and social assistance",792288,3660034,0.21647012,2020
Washington,"Arts, entertainment, and recreation, and accommodation and food services",330885,3660034,0.090404898,2020
Washington,"Other services, except public administration",165644,3660034,0.045257503,2020
Washington,Public administration,182450,3660034,0.049849264,2020
West Virginia,"Agriculture, forestry, fishing and hunting, and mining",26546,744272,0.035667068,2020
West Virginia,Construction,48525,744272,0.065197938,2020
West Virginia,Manufacturing,59759,744272,0.080291883,2020
West Virginia,Wholesale trade,14916,744272,0.02004106,2020
West Virginia,Retail trade,92387,744272,0.124130694,2020
West Virginia,"Transportation and warehousing, and utilities",43410,744272,0.058325451,2020
West Virginia,Information,11140,744272,0.014967646,2020
West Virginia,"Finance and insurance, and real estate and rental and leasing",31422,744272,0.042218436,2020
West Virginia,"Professional, scientific, and management, and administrative and waste management services",58170,744272,0.07815691,2020
West Virginia,"Educational services, and health care and social assistance",207353,744272,0.278598416,2020
West Virginia,"Arts, entertainment, and recreation, and accommodation and food services",66851,744272,0.089820657,2020
West Virginia,"Other services, except public administration",32325,744272,0.043431702,2020
West Virginia,Public administration,51468,744272,0.069152138,2020
Wisconsin,"Agriculture, forestry, fishing and hunting, and mining",64295,2983277,0.021551804,2020
Wisconsin,Construction,175919,2983277,0.058968376,2020
Wisconsin,Manufacturing,537489,2983277,0.180167313,2020
Wisconsin,Wholesale trade,79736,2983277,0.026727656,2020
Wisconsin,Retail trade,327578,2983277,0.109804755,2020
Wisconsin,"Transportation and warehousing, and utilities",138676,2983277,0.046484453,2020
Wisconsin,Information,47567,2983277,0.015944547,2020
Wisconsin,"Finance and insurance, and real estate and rental and leasing",182437,2983277,0.061153222,2020
Wisconsin,"Professional, scientific, and management, and administrative and waste management services",256866,2983277,0.086101961,2020
Wisconsin,"Educational services, and health care and social assistance",697836,2983277,0.233915925,2020
Wisconsin,"Arts, entertainment, and recreation, and accommodation and food services",245606,2983277,0.082327588,2020
Wisconsin,"Other services, except public administration",125507,2983277,0.04207018,2020
Wisconsin,Public administration,103765,2983277,0.034782221,2020
Wyoming,"Agriculture, forestry, fishing and hunting, and mining",30306,287375,0.105458025,2020
Wyoming,Construction,23480,287375,0.081705089,2020
Wyoming,Manufacturing,12392,287375,0.043121357,2020
Wyoming,Wholesale trade,5368,287375,0.018679426,2020
Wyoming,Retail trade,31093,287375,0.108196607,2020
Wyoming,"Transportation and warehousing, and utilities",18036,287375,0.062761201,2020
Wyoming,Information,4539,287375,0.015794693,2020
Wyoming,"Finance and insurance, and real estate and rental and leasing",13043,287375,0.04538669,2020
Wyoming,"Professional, scientific, and management, and administrative and waste management services",18817,287375,0.065478904,2020
Wyoming,"Educational services, and health care and social assistance",71989,287375,0.250505437,2020
Wyoming,"Arts, entertainment, and recreation, and accommodation and food services",28130,287375,0.097886037,2020
Wyoming,"Other services, except public administration",13173,287375,0.04583906,2020
Wyoming,Public administration,17009,287375,0.059187473,2020
